"User Guide","Guia de usuario"
"Extension is disabled","A extensão está desativada"
"Incorrect API credentials","Credenciais de API incorretas"
"Validation settings are correct","As configurações de validação estão corretas"
"UPS","UPS"
"USPS","USPS"
"Google","Google"
"Empty Google API key.","Chave vazia da API do Google."
"Incorrect response from UPS API.","Resposta incorreta da API da UPS."
"Empty UPS credentials.","Credenciais UPS vazias."
"Only addresses from USA can be checked","Apenas os endereços dos EUA podem ser verificados"
"Empty USPS Account ID.","ID da conta USPS vazia."
"Incorrect response from USPS API.","Resposta incorreta da API USPS."
"Please enter all required address fields","Digite todos os campos de endereço necessários"
"Validation mode <' . . '> is not supported","Modo de validação <'. . '> não é suportado"
"[XML2Array] Error parsing the XML string.","[XML2Array] Erro ao analisar a string XML."
"[XML2Array] The input XML object should be of type: DOMDocument.","[XML2Array] O objeto XML de entrada deve ser do tipo: DOMDocument."
"'[XMLParser] Illegal character in attribute name. attribute: ' . . ' in node: ' .","'[XMLParser] Caracteres ilegais no nome do atributo. atributo: '. . 'no nó:'."
"'[XMLParser] Illegal character in tag name. tag: ' . . ' in node: ' .","'[XMLParser] Caracteres ilegais no nome da etiqueta. tag: '. . 'no nó:'."
"Please review your address and make any necessary changes.","Por favor, reveja o seu endereço e faça as alterações necessárias."
"Suggested Address ...","Endereço sugerido ..."
"Address Validation Failed","Falha na validação de endereços"
"Continue","Continuar"
"Address Validation","Validação de endereço"
"IWD Agency","Agência IWD"
"Info","Info"
"Version","Versão"
"Documentation","Documentação"
"General","Geral"
"Enable","Habilitar"
"Allow Invalid Address Checkout","Permitir a cobrança de endereço inválida"
"If yes, then customers with an invalid address will be able to place their order. If no, customer will have to provide a valid address to place order.","Se sim, os clientes com um endereço inválido poderão fazer seu pedido. Se não, o cliente terá que fornecer um endereço válido para fazer o pedido."
"Content","Conteúdo"
"Validation Pop-up Title","Título pop-up de validação"
"Invalid Address Message","Mensagem de endereço inválida"
"Original Address","Endereço original"
"Suggested Address","Endereço sugerido"
"Validation Settings","Configurações de validação"
"Validation Service","Serviço de Validação"
"Test Mode","Modo de teste"
"Login","Entrar"
"Password","Senha"
"Access Key","Chave de acesso"
"Display Address Type","Exibir tipo de endereço"
"Allow to display type (Residential/Commercial) of suggested address in validation pop-up.","Permitir exibir o tipo (Residencial / Comercial) do endereço sugerido no pop-up de validação."
"Account ID","ID da conta"
"API Key","Chave API"
"<a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank"">Get a Key for Google Maps Geocoding API.</a>","<a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank""> Obter uma chave para a API de geocodificação do Google Maps. </a>"
"Use Original Address","Use o endereço original"
"Use Suggested Address","Usar o endereço sugerido"
"Please review your billing address and make any necessary changes.","Por favor, reveja seu endereço de cobrança e faça as alterações necessárias."
