"User Guide","Руководство пользователя"
"Extension is disabled","Расширение отключено"
"Incorrect API credentials","Неверные учетные данные API"
"Validation settings are correct","Настройки проверки правильны"
"UPS","UPS"
"USPS","USPS"
"Google","Google"
"Empty Google API key.","Пустой ключ API Google."
"Incorrect response from UPS API.","Неправильный ответ от ИБП API."
"Empty UPS credentials.","Пустые учетные данные UPS."
"Only addresses from USA can be checked","Можно проверить только адреса из США"
"Empty USPS Account ID.","Пустой идентификатор учетной записи USPS."
"Incorrect response from USPS API.","Неверный ответ API USPS."
"Please enter all required address fields","Введите все необходимые поля адреса"
"Validation mode <' . . '> is not supported","Режим проверки <. , '> не поддерживается"
"[XML2Array] Error parsing the XML string.","[XML2Array] Ошибка анализа XML-строки."
"[XML2Array] The input XML object should be of type: DOMDocument.","[XML2Array] Входной XML-объект должен иметь тип: DOMDocument."
"'[XMLParser] Illegal character in attribute name. attribute: ' . . ' in node: ' .","'[XMLParser] Недопустимый символ в имени атрибута. атрибут: '. , 'в узле:'."
"'[XMLParser] Illegal character in tag name. tag: ' . . ' in node: ' .","'[XMLParser] Недопустимый символ в имени тега. тег: ' . , 'в узле:'."
"Please review your address and make any necessary changes.","Проверьте свой адрес и внесите необходимые изменения."
"Suggested Address ...","Предлагаемый адрес ..."
"Address Validation Failed","Не удалось выполнить проверку адреса"
"Continue","Продолжать"
"Address Validation","Проверка адреса"
"IWD Agency","Агентство IWD"
"Info","Информация"
"Version","Версия"
"Documentation","Документация"
"General","Генеральная"
"Enable","Включить"
"Allow Invalid Address Checkout","Разрешить неверную проверку адреса"
"If yes, then customers with an invalid address will be able to place their order. If no, customer will have to provide a valid address to place order.","Если да, то клиенты с недопустимым адресом смогут разместить свой заказ. Если нет, клиент должен будет указать действительный адрес для размещения заказа."
"Content","содержание"
"Validation Pop-up Title","Всплывающее название проверки"
"Invalid Address Message","Недействительное адресное сообщение"
"Original Address","Оригинальный адрес"
"Suggested Address","Предлагаемый адрес"
"Validation Settings","Настройки проверки"
"Validation Service","Служба валидации"
"Test Mode","Тестовый режим"
"Login","Авторизоваться"
"Password","пароль"
"Access Key","Ключ доступа"
"Display Address Type","Тип отображаемого адреса"
"Allow to display type (Residential/Commercial) of suggested address in validation pop-up.","Разрешить отображение типа (Жилой / Коммерческий) предлагаемого адреса во всплывающем окне проверки."
"Account ID","ID учетной записи"
"API Key","Ключ API"
"<a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank"">Get a Key for Google Maps Geocoding API.</a>","<a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank""> Получить ключ для API геокодирования Google Maps. </a>"
"Use Original Address","Использовать оригинальный адрес"
"Use Suggested Address","Использовать рекомендуемый адрес"
"Please review your billing address and make any necessary changes.","Просмотрите свой платежный адрес и внесите необходимые изменения."
